"UserPrincipalName","Department","DisplayName","IsDeleted","DeletedDate","HasExchangeLicense","HasOneDriveLicense","HasSharePointLicense","HasSkypeForBusinessLicense","HasYammerLicense","HasTeamsLicense","ExchangeLastActivityDate","OneDriveLastActivityDate","SharePointLastActivityDate","SkypeForBusinessLastActivityDate","YammerLastActivityDate","TeamsLastActivityDate","ExchangeLicenseAssignDate","OneDriveLicenseAssignDate","SharePointLicenseAssignDate","SkypeForBusinessLicenseAssignDate","YammerLicenseAssignDate","TeamsLicenseAssignDate","AssignedProducts","LastActivityDate","TeamChatMessageCount","PrivateChatMessageCount","CallCount","MeetingCount","HasOtherAction","ReportPeriod"
"admin@thefoggi.com",,"Administrator","False","","True","True","True","True","True","True","2020-06-04","2020-05-19","2020-05-19","","","","2021-01-14","2021-01-14","2021-01-14","2021-01-14","2021-01-14","2021-01-14","MICROSOFT POWER AUTOMATE FREE+OFFICE 365 E3+ENTERPRISE MOBILITY + SECURITY E5+POWER BI (FREE)+MICROSOFT DEFENDER FOR IDENTITY+MICROSOFT CLOUD APP SECURITY","","0","0","0","0","No","180"
"apprelayuser1@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"commadmin1@thefoggi.com","P&D","Comm Admin 1","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","OFFICE 365 E5+MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5","","0","0","0","0","No","180"
"commadmin2@thefoggi.com","P&D","Comm Admin 2","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","OFFICE 365 E5+POWER BI (FREE)+MICROSOFT POWER AUTOMATE FREE+ENTERPRISE MOBILITY + SECURITY E5","","0","0","0","0","No","180"
"commadmin3@thefoggi.com","P&D","Comm Admin 3","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5+OFFICE 365 E5","","0","0","0","0","No","180"
"commanalyst1@thefoggi.com","P&D","Comm Analyst 1","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","MICROSOFT POWER AUTOMATE FREE+OFFICE 365 E5+POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5","","0","0","0","0","No","180"
"commanalyst2@thefoggi.com","P&D","Comm Analyst 2","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+OFFICE 365 E5+ENTERPRISE MOBILITY + SECURITY E5","","0","0","0","0","No","180"
"commanalyst3@thefoggi.com","P&D","Comm Analyst 3","False","","True","True","True","True","True","True","2020-10-05","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5+OFFICE 365 E5","","0","0","0","0","No","180"
"commanalyst4@thefoggi.com","P&D","Comm Analyst 4","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5+OFFICE 365 E5","","0","0","0","0","No","180"
"commanalyst5@thefoggi.com","P&D","Comm Analyst 5","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","POWER BI (FREE)+MICROSOFT POWER AUTOMATE FREE+ENTERPRISE MOBILITY + SECURITY E5+OFFICE 365 E5","","0","0","0","0","No","180"
"commanalyst6@thefoggi.com","P&D","Comm Analyst 6","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5+OFFICE 365 E5+MICROSOFT POWER AUTOMATE FREE","","0","0","0","0","No","180"
"commuser1@thefoggi.com","P&D","Comm User 1","False","","True","True","True","True","True","True","2020-10-08","","2020-10-06","","","2020-10-06","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","POWER BI (FREE)+MICROSOFT POWER AUTOMATE FREE+OFFICE 365 E5+ENTERPRISE MOBILITY + SECURITY E5","2020-10-06","0","3","0","0","No","180"
"commuser2@thefoggi.com","P&D","Comm User 2","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","ENTERPRISE MOBILITY + SECURITY E5+MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+OFFICE 365 E5","","0","0","0","0","No","180"
"commuser3@thefoggi.com","P&D","Comm User 3","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","ENTERPRISE MOBILITY + SECURITY E5+POWER BI (FREE)+OFFICE 365 E5+MICROSOFT POWER AUTOMATE FREE","","0","0","0","0","No","180"
"commuser4@thefoggi.com","P&D","Comm User 4","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","ENTERPRISE MOBILITY + SECURITY E5+MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+OFFICE 365 E5","","0","0","0","0","No","180"
"commuser5@thefoggi.com","P&D","Comm User 5","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","OFFICE 365 E5+MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5","","0","0","0","0","No","180"
"commuser6@thefoggi.com","P&D","Comm User 6","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5+OFFICE 365 E5","","0","0","0","0","No","180"
"darthvader@thefoggi.com","Board of Directors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"deividfoggi_hotmail.com#EXT#@foggioncloud.onmicrosoft.com",,,,,,,,,,,,,,,,,,,,,,,,"2020-09-13","0","0","0","0","Yes","180"
"deptmail@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"deptmailcloud@thefoggi.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
